"ds","trend","Christmas","Christmas_lower","Christmas_upper","Easter","Easter_lower","Easter_upper","holidays","holidays_lower","holidays_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","Thanksgiving","Thanksgiving_lower","Thanksgiving_upper","weekly","weekly_lower","weekly_upper","yearly","yearly_lower","yearly_upper","additive_terms","additive_terms_lower","additive_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
2013-09-28,49998.0723118512,0,0,0,0,0,0,0,0,0,0.00260667524825611,0.00260667524825611,0.00260667524825611,0,0,0,-0.00152884732614041,-0.00152884732614041,-0.00152884732614041,0.00413552257439652,0.00413552257439652,0.00413552257439652,0,0,0,49380.3715821442,50864.1529391,49998.0723118512,49998.0723118512,50128.401049407
2013-09-29,50014.1387417057,0,0,0,0,0,0,0,0,0,0.00458435634781395,0.00458435634781395,0.00458435634781395,0,0,0,0.000226826226657542,0.000226826226657542,0.000226826226657542,0.00435753012115641,0.00435753012115641,0.00435753012115641,0,0,0,49528.7570803145,51052.5176685779,50014.1387417057,50014.1387417057,50243.4213761267
2013-09-30,50030.2051715603,0,0,0,0,0,0,0,0,0,0.0053458830204613,0.0053458830204613,0.0053458830204613,0,0,0,0.000776488562278634,0.000776488562278634,0.000776488562278634,0.00456939445818266,0.00456939445818266,0.00456939445818266,0,0,0,49496.7070974652,51084.963110275,50030.2051715603,50030.2051715603,50297.6607958971
2013-10-01,50046.2716014148,0,0,0,0,0,0,0,0,0,0.00491061830929255,0.00491061830929255,0.00491061830929255,0,0,0,0.000139732835891265,0.000139732835891265,0.000139732835891265,0.00477088547340129,0.00477088547340129,0.00477088547340129,0,0,0,49572.8032572203,51059.1377296713,50046.2716014148,50046.2716014148,50292.0297390525
2013-10-02,50062.3380312693,0,0,0,0,0,0,0,0,0,0.0055937407210665,0.0055937407210665,0.0055937407210665,0,0,0,0.000631826683432656,0.000631826683432656,0.000631826683432656,0.00496191403763384,0.00496191403763384,0.00496191403763384,0,0,0,49590.6023427771,51175.991303964,50062.3380312693,50062.3380312693,50342.3737701066
2013-10-03,50078.4044611238,0,0,0,0,0,0,0,0,0,0.00576803172351963,0.00576803172351963,0.00576803172351963,0,0,0,0.000625486503718154,0.000625486503718154,0.000625486503718154,0.00514254521980148,0.00514254521980148,0.00514254521980148,0,0,0,49581.1367335589,51120.2131874652,50078.4044611238,50078.4044611238,50367.2582867188
2013-10-04,50094.4708909783,0,0,0,0,0,0,0,0,0,0.0044414941342876,0.0044414941342876,0.0044414941342876,0,0,0,-0.000871513485838054,-0.000871513485838054,-0.000871513485838054,0.00531300762012565,0.00531300762012565,0.00531300762012565,0,0,0,49517.9220749487,51118.420744198,50094.4708909783,50094.4708909783,50316.9651896009
2013-10-05,50110.5373208329,0,0,0,0,0,0,0,0,0,0.00394485118145876,0.00394485118145876,0.00394485118145876,0,0,0,-0.00152884732614339,-0.00152884732614339,-0.00152884732614339,0.00547369850760215,0.00547369850760215,0.00547369850760215,0,0,0,49489.8573952304,51085.318544182,50110.5373208329,50110.5373208329,50308.2159331865
2013-10-06,50126.6037506874,0,0,0,0,0,0,0,0,0,0.00585201080686673,0.00585201080686673,0.00585201080686673,0,0,0,0.000226826226659096,0.000226826226659096,0.000226826226659096,0.00562518458020764,0.00562518458020764,0.00562518458020764,0,0,0,49695.8112125226,51186.9980347974,50126.6037506874,50126.6037506874,50419.9451775479
2013-10-07,50142.6701805419,0,0,0,0,0,0,0,0,0,0.00654468686566074,0.00654468686566074,0.00654468686566074,0,0,0,0.000776488562277884,0.000776488562277884,0.000776488562277884,0.00576819830338286,0.00576819830338286,0.00576819830338286,0,0,0,49691.9415839638,51266.6018773002,50142.6701805419,50142.6701805419,50470.8382554816
2013-10-08,50158.7366103964,0,0,0,0,0,0,0,0,0,0.00604336275555419,0.00604336275555419,0.00604336275555419,0,0,0,0.000139732835890932,0.000139732835890932,0.000139732835890932,0.00590362991966326,0.00590362991966326,0.00590362991966326,0,0,0,49657.8191352007,51237.1625920824,50158.7366103964,50158.7366103964,50461.8640510933
2013-10-09,50174.8030402509,0,0,0,0,0,0,0,0,0,0.0066643420388375,0.0066643420388375,0.0066643420388375,0,0,0,0.000631826683431719,0.000631826683431719,0.000631826683431719,0.00603251535540579,0.00603251535540579,0.00603251535540579,0,0,0,49756.8207679897,51229.3723383283,50174.8030402509,50174.8030402509,50509.1850894425
2013-10-10,50190.8694701054,0,0,0,0,0,0,0,0,0,0.00678150687881024,0.00678150687881024,0.00678150687881024,0,0,0,0.000625486503719553,0.000625486503719553,0.000625486503719553,0.00615602037509069,0.00615602037509069,0.00615602037509069,0,0,0,49778.7993704118,51299.4952186059,50190.8694701054,50190.8694701054,50531.2391966704
2013-10-11,50206.93589996,0,0,0,0,0,0,0,0,0,0.00540390795970758,0.00540390795970758,0.00540390795970758,0,0,0,-0.000871513485839315,-0.000871513485839315,-0.000871513485839315,0.0062754214455469,0.0062754214455469,0.0062754214455469,0,0,0,49709.2981911349,51342.5820320242,50206.93589996,50206.93589996,50478.2495605023
2013-10-12,50223.0023298145,0,0,0,0,0,0,0,0,0,0.00486323654195204,0.00486323654195204,0.00486323654195204,0,0,0,-0.00152884732614291,-0.00152884732614291,-0.00152884732614291,0.00639208386809495,0.00639208386809495,0.00639208386809495,0,0,0,49618.5213226415,51250.0353100174,50223.0023298145,50223.0023298145,50467.2486699914
2013-10-13,50239.068759669,0,0,0,0,0,0,0,0,0,0.00673426403959835,0.00673426403959835,0.00673426403959835,0,0,0,0.000226826226659753,0.000226826226659753,0.000226826226659753,0.0065074378129386,0.0065074378129386,0.0065074378129386,0,0,0,49744.8781453537,51370.557901701,50239.068759669,50239.068759669,50577.3919138002
2013-10-14,50255.1351895235,0,0,0,0,0,0,0,0,0,0.00739944150699135,0.00739944150699135,0.00739944150699135,0,0,0,0.000776488562277691,0.000776488562277691,0.000776488562277691,0.00662295294471366,0.00662295294471366,0.00662295294471366,0,0,0,49866.4566430145,51453.2776088908,50255.1351895235,50255.1351895235,50626.9951227843
2013-10-15,50271.201619378,0,0,0,0,0,0,0,0,0,0.00687984519530065,0.00687984519530065,0.00687984519530065,0,0,0,0.000139732835891168,0.000139732835891168,0.000139732835891168,0.00674011235940948,0.00674011235940948,0.00674011235940948,0,0,0,49834.5907073472,51447.2407416325,50271.201619378,50271.201619378,50617.0597043011
2013-10-16,50287.2680492326,0,0,0,0,0,0,0,0,0,0.00749221324319032,0.00749221324319032,0.00749221324319032,0,0,0,0.000631826683432411,0.000631826683432411,0.000631826683432411,0.00686038655975791,0.00686038655975791,0.00686038655975791,0,0,0,49882.8207627589,51461.9008899226,50287.2680492326,50287.2680492326,50664.0309848749
2013-10-17,50303.3344790871,0,0,0,0,0,0,0,0,0,0.00761069468258627,0.00761069468258627,0.00761069468258627,0,0,0,0.000625486503718565,0.000625486503718565,0.000625486503718565,0.00698520817886771,0.00698520817886771,0.00698520817886771,0,0,0,49916.4884494776,51455.612858006,50303.3344790871,50303.3344790871,50686.1777993234
2013-10-18,50319.4009089416,0,0,0,0,0,0,0,0,0,0.0062444346350282,0.0062444346350282,0.0062444346350282,0,0,0,-0.000871513485840566,-0.000871513485840566,-0.000871513485840566,0.00711594812086876,0.00711594812086876,0.00711594812086876,0,0,0,49816.2234252765,51444.6247590794,50319.4009089416,50319.4009089416,50633.6171187913
2013-10-19,50335.4673387961,0,0,0,0,0,0,0,0,0,0.00572504639821866,0.00572504639821866,0.00572504639821866,0,0,0,-0.00152884732614192,-0.00152884732614192,-0.00152884732614192,0.00725389372436058,0.00725389372436058,0.00725389372436058,0,0,0,49796.7954677505,51433.31189822,50335.4673387961,50335.4673387961,50623.6402247867
2013-10-20,50351.5337686506,0,0,0,0,0,0,0,0,0,0.00762705569833017,0.00762705569833017,0.00762705569833017,0,0,0,0.000226826226657982,0.000226826226657982,0.000226826226657982,0.00740022947167219,0.00740022947167219,0.00740022947167219,0,0,0,49978.7072440613,51530.6822057326,50351.5337686506,50351.5337686506,50735.5677212005
2013-10-21,50367.6001985051,0,0,0,0,0,0,0,0,0,0.00833250922970494,0.00833250922970494,0.00833250922970494,0,0,0,0.000776488562277823,0.000776488562277823,0.000776488562277823,0.00755602066742711,0.00755602066742711,0.00755602066742711,0,0,0,50048.1941632232,51597.4541676918,50367.6001985051,50367.6001985051,50787.2886920373
2013-10-22,50383.6666283597,0,0,0,0,0,0,0,0,0,0.00786193323301941,0.00786193323301941,0.00786193323301941,0,0,0,0.000139732835891405,0.000139732835891405,0.000139732835891405,0.007722200397128,0.007722200397128,0.007722200397128,0,0,0,49974.3134318898,51563.4242269458,50383.6666283597,50383.6666283597,50779.7796514265
2013-10-23,50399.7330582142,0,0,0,0,0,0,0,0,0,0.00853138663788323,0.00853138663788323,0.00853138663788323,0,0,0,0.000631826683432661,0.000631826683432661,0.000631826683432661,0.00789955995445057,0.00789955995445057,0.00789955995445057,0,0,0,50117.4140632995,51671.2969288932,50399.7330582142,50399.7330582142,50829.7126673799
2013-10-24,50415.7994880687,0,0,0,0,0,0,0,0,0,0.00871422930273452,0.00871422930273452,0.00871422930273452,0,0,0,0.00062548650371806,0.00062548650371806,0.00062548650371806,0.00808874279901646,0.00808874279901646,0.00808874279901646,0,0,0,50068.2896774875,51649.3329552394,50415.7994880687,50415.7994880687,50855.1343252884
2013-10-25,50431.8659179232,0,0,0,0,0,0,0,0,0,0.00741872849319104,0.00741872849319104,0.00741872849319104,0,0,0,-0.000871513485841821,-0.000871513485841821,-0.000871513485841821,0.00829024197903286,0.00829024197903286,0.00829024197903286,0,0,0,50030.4132702298,51596.1492786554,50431.8659179232,50431.8659179232,50806.0062385733
2013-10-26,50447.9323477777,0,0,0,0,0,0,0,0,0,0.00697555350384804,0.00697555350384804,0.00697555350384804,0,0,0,-0.0015288473261433,-0.0015288473261433,-0.0015288473261433,0.00850440082999134,0.00850440082999134,0.00850440082999134,0,0,0,50013.1270404209,51606.8551629817,50447.9323477777,50447.9323477777,50799.8345990282
2013-10-27,50463.9987776323,0,0,0,0,0,0,0,0,0,0.00895824287254923,0.00895824287254923,0.00895824287254923,0,0,0,0.000226826226659087,0.000226826226659087,0.000226826226659087,0.00873141664589014,0.00873141664589014,0.00873141664589014,0,0,0,50155.5952038912,51717.7648303557,50463.9987776323,50463.9987776323,50916.0675350023
2013-10-28,50480.0652074868,0,0,0,0,0,0,0,0,0,0.00974783547971273,0.00974783547971273,0.00974783547971273,0,0,0,0.000776488562278185,0.000776488562278185,0.000776488562278185,0.00897134691743455,0.00897134691743455,0.00897134691743455,0,0,0,50218.774763102,51774.4242583337,50480.0652074868,50480.0652074868,50972.1365781345
2013-10-29,50496.1316373413,0,0,0,0,0,0,0,0,0,0.00936385048197154,0.00936385048197154,0.00936385048197154,0,0,0,0.000139732835891626,0.000139732835891626,0.000139732835891626,0.00922411764607991,0.00922411764607991,0.00922411764607991,0,0,0,50189.8872846227,51742.1248009101,50496.1316373413,50496.1316373413,50968.9698639113
2013-10-30,50512.1980671958,0,0,0,0,0,0,0,0,0,0.0101213598601826,0.0101213598601826,0.0101213598601826,0,0,0,0.000631826683433795,0.000631826683433795,0.000631826683433795,0.00948953317674879,0.00948953317674879,0.00948953317674879,0,0,0,50243.9328545977,51814.2705285322,50512.1980671958,50512.1980671958,51023.4502011627
2013-10-31,50528.2644970503,0,0,0,0,0,0,0,0,0,0.0103927734519037,0.0103927734519037,0.0103927734519037,0,0,0,0.00062548650371946,0.00062548650371946,0.00062548650371946,0.00976728694818423,0.00976728694818423,0.00976728694818423,0,0,0,50283.0429434943,51784.9257398115,50528.2644970503,50528.2644970503,51053.393302886
2013-11-01,50544.3309269048,0,0,0,0,0,0,0,0,0,0.00918545905411976,0.00918545905411976,0.00918545905411976,0,0,0,-0.000871513485836168,-0.000871513485836168,-0.000871513485836168,0.0100569725399559,0.0100569725399559,0.0100569725399559,0,0,0,50221.7473728249,51814.0077687907,50544.3309269048,50544.3309269048,51008.6038090518
